time	V(vout)
Step Information: Run=0  (Run: 1/65)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	8.245023e-005
1.999999943436137e-009	1.647841e-004
1.599999954748910e-008	1.280663e-003
3.199999909497819e-008	2.465314e-003
1.056317675119701e-007	7.621137e-003
1.562974663784120e-007	1.161892e-002
2.113868057868758e-007	1.723905e-002
2.842701389207192e-007	2.757600e-002
3.529709940709842e-007	4.123998e-002
4.286849751284655e-007	6.027585e-002
4.563463714957930e-007	6.788813e-002
4.792322807059838e-007	7.396617e-002
5.127437272700029e-007	8.184823e-002
5.515976851904927e-007	8.983159e-002
5.826060549126307e-007	9.552310e-002
6.168578332526496e-007	1.014380e-001
6.556600014072994e-007	1.079743e-001
7.332643377165990e-007	1.208790e-001
8.130939298627957e-007	1.340924e-001
9.550986118687438e-007	1.575467e-001
1.239107975880640e-006	2.044208e-001
1.634500432137149e-006	2.696636e-001
2.425285344650168e-006	4.001390e-001
7.169994819728280e-006	1.182972e+000
1.349627411983243e-005	2.226746e+000
2.000000000000000e-005	3.299795e+000
2.024561171760367e-005	3.299797e+000
2.073683515281100e-005	3.299797e+000
3.547353820903104e-005	3.299798e+000
1.025779983587018e-003	3.299798e+000
2.031805578891639e-003	3.299798e+000
4.043856769500882e-003	3.299798e+000
8.067959150719367e-003	3.299798e+000
1.611616391315634e-002	3.299799e+000
2.588178891315634e-002	3.299800e+000
3.564741391315634e-002	3.299801e+000
4.541303891315634e-002	3.299802e+000
5.517866391315634e-002	3.299802e+000
6.494428891315635e-002	3.299803e+000
7.470991391315635e-002	3.299803e+000
9.424116391315635e-002	3.299805e+000
1.137724139131564e-001	3.299806e+000
1.333036639131564e-001	3.299807e+000
1.626005389131564e-001	3.299808e+000
1.918974139131564e-001	3.299809e+000
2.211942889131564e-001	3.299810e+000
2.504911639131564e-001	3.299811e+000
2.797880389131564e-001	3.299811e+000
3.188505389131564e-001	3.299812e+000
3.579130389131564e-001	3.299812e+000
3.969755389131564e-001	3.299812e+000
4.458036639131564e-001	3.299810e+000
4.653349139131564e-001	3.299805e+000
4.751005389131564e-001	3.299792e+000
4.848661639131564e-001	3.299701e+000
4.860868670381564e-001	3.299614e+000
4.861250140108126e-001	3.299593e+000
4.862013079561251e-001	3.299495e+000
4.862203814424532e-001	3.299449e+000
4.862251498140353e-001	3.299432e+000
4.862346865571993e-001	3.299374e+000
4.862537600435274e-001	3.299194e+000
4.862585284151095e-001	3.299078e+000
4.862680651582735e-001	3.298629e+000
4.862689940796235e-001	3.298521e+000
4.862708519223236e-001	3.298176e+000
4.862713163829985e-001	3.298049e+000
4.862722453043485e-001	3.297689e+000
4.862724775346861e-001	3.297566e+000
4.862729419953610e-001	3.297167e+000
4.862738709167110e-001	3.295991e+000
4.862739826269008e-001	3.295743e+000
4.862742060472801e-001	3.294977e+000
4.862744336657731e-001	3.293811e+000
4.862746586823019e-001	3.291874e+000
4.862748181278025e-001	3.289423e+000
4.862749468003412e-001	3.285859e+000
4.862750499959919e-001	3.280748e+000
4.862751375726835e-001	3.273030e+000
4.862752158911014e-001	3.260830e+000
4.862752907653988e-001	3.240170e+000
4.862753718598707e-001	3.202474e+000
4.862754510078760e-001	3.144933e+000
4.862755587798034e-001	3.038707e+000
4.862756716763972e-001	2.908103e+000
4.862758064461374e-001	2.741015e+000
4.862759794345025e-001	2.521805e+000
4.862763247647933e-001	2.080792e+000
4.862770154253748e-001	1.197226e+000
4.862774425249569e-001	6.522001e-001
4.862775492998524e-001	5.172454e-001
4.862777628496434e-001	2.517012e-001
4.862778681978490e-001	1.261261e-001
4.862779323861725e-001	5.734067e-002
4.862779682415679e-001	2.643717e-002
4.862779883442180e-001	1.503895e-002
4.862780135118128e-001	6.902961e-003
4.862780242301530e-001	4.955146e-003
4.862780374151490e-001	3.666083e-003
4.862780527315693e-001	2.728546e-003
4.862780734753344e-001	1.963823e-003
4.862780942674905e-001	1.512668e-003
4.862781272649635e-001	1.110584e-003
4.862781641777205e-001	8.593876e-004
4.862782246922209e-001	6.460121e-004
4.862782970738212e-001	5.146929e-004
4.862784246715663e-001	4.055034e-004
4.862785905443302e-001	3.388614e-004
4.862789038891405e-001	2.857673e-004
4.862793510940193e-001	2.538871e-004
